iter	Passed	Remaining
765	2821	861
766	2825	858
767	2828	854
768	2832	850
769	2834	846
770	2836	842
771	2839	838
772	2843	835
773	2845	830
774	2848	826
775	2850	822
776	2853	818
777	2855	814
778	2857	810
779	2859	806
780	2862	802
781	2865	798
782	2867	794
783	2869	790
784	2872	786
785	2875	782
786	2877	778
787	2880	774
788	2881	770
789	2883	766
790	2885	762
791	2887	758
792	2890	754
793	2892	750
794	2895	746
795	2898	742
796	2922	744
797	2926	740
798	2931	737
799	2934	733
800	2940	730
801	2944	727
802	2947	723
803	2950	719
804	2955	715
805	2957	711
806	2959	707
807	2962	703
808	2964	699
809	2967	696
810	2969	692
811	2972	688
812	2973	684
813	2976	680
814	2980	676
815	2982	672
816	2984	668
817	2986	664
818	2988	660
819	2992	656
820	2994	652
821	2996	648
822	2998	644
823	3001	640
824	3003	637
825	3070	646
826	3088	646
827	3099	643
828	3102	639
829	3106	636
830	3110	632
831	3113	628
832	3117	625
833	3119	620
834	3122	617
835	3125	613
836	3131	609
837	3134	605
838	3138	602
839	3140	598
840	3142	594
841	3144	590
842	3147	586
843	3149	582
844	3152	578
845	3155	574
846	3157	570
847	3160	566
848	3162	562
849	3165	558
850	3168	554
851	3170	550
852	3173	546
853	3175	542
854	3177	538
855	3179	534
856	3181	530
857	3183	526
858	3185	522
859	3187	518
860	3189	514
861	3192	511
862	3194	507
863	3196	503
864	3198	499
865	3201	495
866	3204	491
867	3206	487
868	3208	483
869	3210	479
870	3212	475
871	3215	471
872	3217	468
873	3219	464
874	3221	460
875	3223	456
876	3261	457
877	3306	459
878	3315	456
879	3318	452
880	3320	448
881	3325	444
882	3330	441
883	3334	437
884	3340	434
885	3344	430
886	3348	426
887	3351	422
888	3353	418
889	3356	414
890	3359	410
891	3362	407
892	3364	403
893	3367	399
894	3370	395
895	3372	391
896	3375	387
897	3377	383
898	3381	379
899	3384	376
900	3387	372
901	3389	368
902	3465	372
903	3469	368
904	3479	365
905	3485	361
906	3489	357
907	3492	353
908	3494	349
909	3499	346
910	3503	342
911	3508	338
912	3511	334
913	3514	330
914	3520	327
915	3522	323
916	3524	319
917	3526	315
918	3530	311
919	3532	307
920	3535	303
921	3537	299
922	3540	295
923	3544	291
924	3546	287
925	3548	283
926	3551	279
927	3553	275
928	3556	271
929	3559	267
930	3562	263
931	3564	260
932	3566	256
933	3663	258
934	3666	254
935	3669	250
936	3671	246
937	3675	242
938	3677	238
939	3680	234
940	3684	231
941	3687	227
942	3690	223
943	3798	225
944	3803	221
945	3811	217
946	3816	213
947	3821	209
948	3825	205
949	3829	201
950	3842	197
951	3862	194
952	3869	190
953	3876	186
954	3884	183
955	3892	179
956	3900	175
957	3903	171
958	3906	167
959	3910	162
960	3913	158
961	3917	154
962	3920	150
963	3922	146
964	3926	142
965	3932	138
966	3948	134
967	3955	130
968	3958	126
969	3963	122
970	3968	118
971	3976	114
972	3979	110
973	3982	106
974	3986	102
975	3989	98
976	3991	93
977	3993	89
978	3996	85
979	4000	81
980	4004	77
981	4007	73
982	4010	69
983	4012	65
984	4019	61
985	4021	57
986	4024	53
987	4026	48
988	4029	44
989	4032	40
990	4034	36
991	4037	32
992	4039	28
993	4045	24
994	4047	20
995	4049	16
996	4148	12
997	4154	8
998	4157	4
999	4159	0
